authors,title,year,source_title,document_type,cited_by,affiliations,author_keywords,doi,link
"Chen K.-H., Liu H.-H., Chang F.-H.",Essential customer service factors and the segmentation of older visitors within wellness tourism based on hot springs hotels,2013,International Journal of Hospitality Management,Article,64,"Department of Tourism Management, National Kaohsiung University of Applied Sciences, No. 415, Chien Kung Road, Kaohsiung 807, Taiwan; Department of Leisure, Recreation and Tourism Management, Tzu Hui Institute of Technology, No. 367, Sanmin Road, Nanjhou Hsian, Pingtung 926, Taiwan",Customer service; Older adults; Segmentation; Wellness tourism,10.1016/j.ijhm.2013.05.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879745117&doi=10.1016%2fj.ijhm.2013.05.013&partnerID=40&md5=521f911bea32383552b7c82a353b349a
Sen Gupta A.,Medical tourism in India: winners and losers.,2008,Indian journal of medical ethics,Editorial,64,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-49849099804&partnerID=40&md5=0cf0347e65483a7802cb2fdf72dbb61f
"Lehto X.Y., Brown S., Chen Y., Morrison A.M.",Yoga tourism as a niche within the wellness tourism market,2006,Tourism Recreation Research,Article,63,"Department of Hospitality and Tourism Management, Purdue University, West Lafayette, IN  47907, United States; Purdue University, West Lafayette, IN  47907, United States",Health and wellness tourism; Involvement; Special-interest tourism; Well-being; Yoga tourists,10.1080/02508281.2006.11081244,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979884886&doi=10.1080%2f02508281.2006.11081244&partnerID=40&md5=4a77fda0ba4d2d591332ee2b0ad8dfc0
"Smith R., Martínez Álvarez M., Chanda R.",Medical tourism: A review of the literature and analysis of a role for bi-lateral trade,2011,Health Policy,Article,61,"Department of Global Health and Development, Faculty of Public Health and Policy, London School of Hygiene and Tropical Medicine, 15-17 Tavistock Place, London WC1H 9SH, United Kingdom; Institute of Management Bangalore, Bannerghatta Road, Bangalore 560076, India",GATS; Medical tourism; Trade in health services,10.1016/j.healthpol.2011.06.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80255126820&doi=10.1016%2fj.healthpol.2011.06.009&partnerID=40&md5=6ccbf27b23885a449286a4ec792f02a5
"Snyder J., Crooks V.A., Adams K., Kingsbury P., Johnston R.",The 'patient's physician one-step removed': The evolving roles of medical tourism facilitators,2011,Journal of Medical Ethics,Article,61,"Faculty of Health Sciences, Simon Fraser University, Burnaby, Canada; Department of Geography, Simon Fraser University, Burnaby, Canada",NA,10.1136/jme.2011.042374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81755179435&doi=10.1136%2fjme.2011.042374&partnerID=40&md5=405827d76ee58286e07a4ff4846b21b4
"Fetscherin M., Stephano R.-M.",The medical tourism index: Scale development and validation,2016,Tourism Management,Article,60,"Rollins College, Department of Business, 170 W. Fairbanks Avenue, Winter ParkFL  32789, United States; Medical Tourism Association, Northlake Blvd Suite 214-315, West Palm BeachFL  33412, United States",Index; Medical tourism; Place branding; Scale development,10.1016/j.tourman.2015.08.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941037206&doi=10.1016%2fj.tourman.2015.08.010&partnerID=40&md5=4079e50e391495e402b56fab98ceccf3
"Bender J.G., Lum L., Unverzagt K.L., Lee W., Van Epps D., George S., Coon J., Ghalie R., McLeod B., Kaizer H., Williams S.F.","Correlation of colony-forming cells, long-term culture initiating cells and CD34+ cells in apheresis products from patients mobilized for peripheral blood progenitors with different regimens",1994,Bone Marrow Transplantation,Article,60,"WG2-2S Baxter Technology Park, Round Lake, IL 60073, United States",NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028231157&partnerID=40&md5=68128c17fd94cdbff2ab0ae47f344fcf
"Johnston R., Crooks V.A., Snyder J.","""I didn't even know what I was looking for"" : A qualitative study of the decision-making processes of Canadian medical tourists",2012,Globalization and Health,Article,59,"Department of Geography, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada; Faculty of Health Sciences, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada",Canada; Decision-making; Medical tourism; Qualitative; Surgery,10.1186/1744-8603-8-23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863424114&doi=10.1186%2f1744-8603-8-23&partnerID=40&md5=509952a0feb64fe8d7d07e96346bb896
Turner L.,"""Medical tourism"" and the global marketplace in health services: U.S. patients, international hospitals, and the search for affordable health care",2010,International Journal of Health Services,Article,59,NA,NA,10.2190/HS.40.3.d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953845629&doi=10.2190%2fHS.40.3.d&partnerID=40&md5=adb03d7ad741b722d70bd7ab3e57486b
Kangas B.,Hope from abroad in the international medical travel of Yemeni patients,2007,Anthropology and Medicine,Article,59,"Department of Sociology and Anthropology, Oaklan University, Rochester, MI 48309-4495, United States",NA,10.1080/13648470701612646,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749091761&doi=10.1080%2f13648470701612646&partnerID=40&md5=c07296a3a8765eb086956bc29ed9efe0
"Crush J., Chikanda A.",South-South medical tourism and the quest for health in Southern Africa,2014,Social Science and Medicine,Article,58,"Balsillie School of International Affairs, Waterloo, ON, Canada; University of Cape Town, Rondebosch, South Africa",Medical tourism; Migration; South Africa; South-South; Transnational healthcare,10.1016/j.socscimed.2014.06.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920269847&doi=10.1016%2fj.socscimed.2014.06.025&partnerID=40&md5=740a0a7e3a174b8f1e74f81c3270d91a
"Hanefeld J., Horsfall D., Lunt N., Smith R.",Medical Tourism: A Cost or Benefit to the NHS?,2013,PLoS ONE,Article,58,"Department Global Health and Development, London School of Hygiene and Tropical Medicine, London, United Kingdom; Department of Social Work and Social Policy, University of York, York, United Kingdom; London School of Hygiene and Tropical Medicine, London, United Kingdom",NA,10.1371/journal.pone.0070406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886263333&doi=10.1371%2fjournal.pone.0070406&partnerID=40&md5=a4ed7d15a359b976c279400e013ad3d0
"Snyder J., Dharamsi S., Crooks V.A.",Fly-By medical care: Conceptualizing the global and local social responsibilities of medical tourists and physician voluntourists,2011,Globalization and Health,Article,58,"Faculty of Health Sciences, Simon Fraser University, 8888 University Drive Burnaby, Blusson Hall 11300, BC, Canada; Department of Family Practice, University of British Columbia, David Strangway Building, University Boulevard, 3rd Floor 5950, Vancouver, BC, Canada; Department of Geography, Simon Fraser University, 8888 University Drive Burnaby, RCB 6141, BC, Canada",NA,10.1186/1744-8603-7-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953670954&doi=10.1186%2f1744-8603-7-6&partnerID=40&md5=290035aec119c19ec0da498ad69b9f28
"Silva Cunha J.P., Cunha B., Pereira A.S., Xavier W., Ferreira N., Meireles L.",Vital-Jacket®: A wearable wireless vital signs monitor for patients' mobility in cardiology and sports,2010,"2010 4th International Conference on Pervasive Computing Technologies for Healthcare, Pervasive Health 2010",Conference Paper,58,"IEETA/Dep. Electronics, Telecomm. and Informatics, University of Aveiro, Aveiro, Portugal; Biodevices S.A., Aveiro, Portugal",Cardiology; MDD 42/93/CE certified; Sports; Wearable electronics,10.4108/ICST.PERVASIVEHEALTH2010.8991,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954389671&doi=10.4108%2fICST.PERVASIVEHEALTH2010.8991&partnerID=40&md5=e8b055cacdbf4828124949265ee025e3
"Forgione D.A., Smith P.C.",Medical tourism and its impact on the US health care system,2007,Journal of Health Care Finance,Article,58,"Department of Accounting, College of Business, University of Texas, San Antonio, TX, United States",Accreditation; Cost savings; Global competition; India; Malaysia; Malpractice; Medical tourism; Outsourcing; Singapore; Surgery; Thailand,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34948823752&partnerID=40&md5=ce4f1f7d3be1ceb1817fb21682644480
"Bolwell B.J., Pohlman B., Rybicki L., Sobecks R., Dean R., Curtis J., Andresen S., Koo A., Mineff V., Kalaycio M., Sweetenham J.W.",Patients mobilizing large numbers of CD34+ cells ('super mobilizers') have improved survival in autologous stem cell transplantation for lymphoid malignancies,2007,Bone Marrow Transplantation,Article,58,"Department of Hematologic Oncology and Blood Disorders, Taussig Cancer Center, The Cleveland Clinic Foundation, Cleveland, OH, United States; Department of Quantitative Health Sciences, Taussig Cancer Center, The Cleveland Clinic Foundation, Cleveland, OH, United States",NA,10.1038/sj.bmt.1705763,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548091639&doi=10.1038%2fsj.bmt.1705763&partnerID=40&md5=34c42d8b9504fd87072385e8d7c1acc4
"Ye B.H., Qiu H.Z., Yuen P.P.",Motivations and experiences of Mainland Chinese medical tourists in Hong Kong,2011,Tourism Management,Article,57,"Department of Management and Marketing, The Hong Kong Polytechnic University, Hong Kong; School of Hotel and Tourism Management, The Hong Kong Polytechnic University, Hong Kong",Hong Kong; Mainland Chinese medical tourist; Motivation; Perceived discrimination,10.1016/j.tourman.2010.09.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955474765&doi=10.1016%2fj.tourman.2010.09.018&partnerID=40&md5=b1bcc7987ea53ea6d93778776213a756
"Reddy S.G., York V.K., Brannon L.A.",Travel for treatment: Students' perspective on medical tourism,2010,International Journal of Tourism Research,Article,57,"Department of History, Geography and Global Studies, Coppin State University, Baltimore, MD, United States; Office of Educational Innovation and Evaluation, College of Education, Kansas State University, Manhattan, KS, United States; Department of Psychology, Kansas State University, Manhattan, KS, United States",American undergraduate students; Health tourism; Medical tourism; Theory of planned behaviour,10.1002/jtr.769,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956905640&doi=10.1002%2fjtr.769&partnerID=40&md5=dc40a424e276d8328d52adafb2937ac7
Sobo E.J.,"Medical travel: What it means, why it matters",2009,Medical Anthropology: Cross Cultural Studies in Health and Illness,Article,57,"Department of Anthropology, San Diego State University, Mail Code 6040, 5500 Campanile Drive, San Diego, CA 92182-6040, United States",Globalization; Health care consumerism; Health services; Health tourism; Medical tourism; Medical travel,10.1080/01459740903303894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951663060&doi=10.1080%2f01459740903303894&partnerID=40&md5=05b2621b6f5f341d2fde85b2ec062ff5
Reed C.M.,Medical Tourism,2008,Medical Clinics of North America,Review,55,"Medical Transmission Team, HIV Prevention Branch, Division of Global AIDS Centers for Disease Control and Prevention, 1600 Clifton Road NE, Atlanta, GA 30333, United States",Health seeking traveler; Medical tourism; Reproductive tourism; Transplant tourism; Travel,10.1016/j.mcna.2008.08.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-54949123461&doi=10.1016%2fj.mcna.2008.08.001&partnerID=40&md5=2fbb53f8e26fe7bcff63fb085f199610
"Alleman B.W., Luger T., Reisinger H.S., Martin R., Horowitz M.D., Cram P.",Medical tourism services available to residents of the United States,2011,Journal of General Internal Medicine,Article,54,"University of Iowa Carver College of Medicine, 2182 Medical Laboratories, 500 Newton Rd, Iowa City, IA 52242, United States; Department of Psychology, University of Iowa, Iowa City, IA, United States; Iowa City Veterans Administration Medical Center, Iowa City, IA, United States; Division of General Internal Medicine, Department of Internal Medicine, Carver College of Medicine, Iowa City, IA, United States; Medical Insights International, Lebanon, GA, United States",Elective surgery; Medical tourism; Travel; Uninsured,10.1007/s11606-010-1582-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958747109&doi=10.1007%2fs11606-010-1582-8&partnerID=40&md5=196aa7d69f1467e2f4dbffb5f955978d
"Chen L.H., Wilson M.E.",The globalization of healthcare: Implications of medical tourism for the infectious disease clinician,2013,Clinical Infectious Diseases,Article,53,"Travel Medicine Center, Mount Auburn Hospital, Cambridge, United States; Harvard Medical School, United States; Department of Global Health and Population, Harvard School of Public Health, Boston, MA, United States",cross-border healthcare; healthcare globalization; medical tourism; multidrug-resistant organisms; transplant tourism,10.1093/cid/cit540,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890061571&doi=10.1093%2fcid%2fcit540&partnerID=40&md5=568901e601e837a1d8c5f7fdb9fe1c30
Wang H.-Y.,Value as a medical tourism driver,2012,Managing Service Quality,Article,53,"Department of Hospitality Management, Chung Hua University, Hsinchu, Taiwan",China; Consumer behaviour; Customer intention; Medical tourism; Perceived benefits; Perceived sacrifice; Perceived value; Tourism,10.1108/09604521211281387,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867838470&doi=10.1108%2f09604521211281387&partnerID=40&md5=bba0e5459c89b01601e66cf25e53c2c8
"Gan L.L., Frederick J.R.",Medical tourism facilitators: Patterns of service differentiation,2011,Journal of Vacation Marketing,Article,53,"Department of Economics, Finance, and Decision Sciences, School of Business, University of North Carolina at Pembroke, P O Box 1510, Pembroke, NC 28372-1510, United States",cluster analysis; differentiation; healthcare tourism; medical tourism; medical tourism agents; principal component analysis,10.1177/1356766711409181,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960588847&doi=10.1177%2f1356766711409181&partnerID=40&md5=0d739d2cef08d13aa03f7d1f42a52974
"Whittaker A., Manderson L., Cartwright E.",Patients without borders: Understanding medical travel,2010,Medical Anthropology: Cross Cultural Studies in Health and Illness,Editorial,53,"School of Population Health, University of Queensland, Level 2, Public Health Building, Herston Road, Herston, Brisbane, QLD 4006, Australia; School of Psychology and Psychiatry, Monash University, Australia; Idaho State University, Pocatello, ID, United States",Health system; Medical travel; Trade in health services,10.1080/01459740.2010.501318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78549278142&doi=10.1080%2f01459740.2010.501318&partnerID=40&md5=87cf9133124cf72809a6edc793069d01
"Ormond M., Sulianti D.",More than medical tourism: lessons from Indonesia and Malaysia on South–South intra-regional medical travel,2017,Current Issues in Tourism,Article,52,"Cultural Geography, Wageningen University, PO Box 47, Wageningen, 6700 AA, Netherlands",cross-border health care; development; intra-regional tourism; medical tourism; regional alliances; South–South migration,10.1080/13683500.2014.937324,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904086853&doi=10.1080%2f13683500.2014.937324&partnerID=40&md5=b768cfc48ba2e7962fcae00a94163205
